OTU	primary_lifestyle	Genus	Species
Nephroma_flavorhizinatum_5	lichenized	Nephroma	Nephroma_flavorhizinatum_5
Xepicula_leucotricha_2	soil_saprotroph	Xepicula	Xepicula_leucotricha_2
Glomeraceae_sp_16	unknown_primary_lyfestyle	Glomeraceae_gen_Incertae_sedis	Glomeraceae_sp_16
Nephroma_flavorhizinatum_6	lichenized	Nephroma	Nephroma_flavorhizinatum_6
Discinellaceae_sp_2	unknown_primary_lyfestyle	Discinellaceae_gen_Incertae_sedis	Discinellaceae_sp_2
Fungi_sp_88	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_88
Glomus_sp_13	arbuscular_mycorrhizal	Glomus	Glomus_sp_13
Conocybe_velutipes_2	soil_saprotroph	Conocybe	Conocybe_velutipes_2
Entoloma_infula_1	soil_saprotroph	Entoloma	Entoloma_infula_1
Ceratobasidium_sp_4	plant_pathogen	Ceratobasidium	Ceratobasidium_sp_4
Chytridiomycota_sp_1	unknown_primary_lyfestyle	Chytridiomycota_gen_Incertae_sedis	Chytridiomycota_sp_1
Zygosaccharomyces_bailii_1	nectar/tap_saprotroph	Zygosaccharomyces	Zygosaccharomyces_bailii_1
Ascomycota_sp_24	unknown_primary_lyfestyle	Ascomycota_gen_Incertae_sedis	Ascomycota_sp_24
Pseudoarthrographis_sp_6	plant_pathogen	Pseudoarthrographis	Pseudoarthrographis_sp_6
Glomeraceae_sp_17	unknown_primary_lyfestyle	Glomeraceae_gen_Incertae_sedis	Glomeraceae_sp_17
Candida_metapsilosis_1	nectar/tap_saprotroph	Candida	Candida_metapsilosis_1
Balsamia_hellenica_2	ectomycorrhizal	Balsamia	Balsamia_hellenica_2
Cordyceps_fumosorosea_11	animal_parasite	Cordyceps	Cordyceps_fumosorosea_11
Hygrocybe_fuhreri_1	unknown_primary_lyfestyle	Hygrocybe	Hygrocybe_fuhreri_1
Rozellomycota_sp_36	unknown_primary_lyfestyle	Rozellomycota_gen_Incertae_sedis	Rozellomycota_sp_36
Sympoventuriaceae_sp_2	unknown_primary_lyfestyle	Sympoventuriaceae_gen_Incertae_sedis	Sympoventuriaceae_sp_2
Geopora_arenicola_2	ectomycorrhizal	Geopora	Geopora_arenicola_2
Derxomyces_hainanensis_1	unspecified_saprotroph	Derxomyces	Derxomyces_hainanensis_1
Pseudocosmospora_rogersonii_1	mycoparasite	Pseudocosmospora	Pseudocosmospora_rogersonii_1
Exophiala_equina_1	animal_parasite	Exophiala	Exophiala_equina_1
Rozellomycota_sp_37	unknown_primary_lyfestyle	Rozellomycota_gen_Incertae_sedis	Rozellomycota_sp_37
Chaetothyriaceae_sp_1	unknown_primary_lyfestyle	Chaetothyriaceae_gen_Incertae_sedis	Chaetothyriaceae_sp_1
Ramicandelaber_taiwanensis_5	soil_saprotroph	Ramicandelaber	Ramicandelaber_taiwanensis_5
Niesslia_bulbillosa_1	litter_saprotroph	Niesslia	Niesslia_bulbillosa_1
Vishniacozyma_victoriae_2	soil_saprotroph	Vishniacozyma	Vishniacozyma_victoriae_2
Microthyriales_sp_1	unknown_primary_lyfestyle	Microthyriales_gen_Incertae_sedis	Microthyriales_sp_1
Stachybotrys_microsporus_1	wood_saprotroph	Stachybotrys	Stachybotrys_microsporus_1
Terramyces_subangulosus_4	pollen_saprotroph	Terramyces	Terramyces_subangulosus_4
Psathyrella_complutensis_1	wood_saprotroph	Psathyrella	Psathyrella_complutensis_1
Ossicaulis_lignatilis_1	wood_saprotroph	Ossicaulis	Ossicaulis_lignatilis_1
Cephaliophora_sp_1	soil_saprotroph	Cephaliophora	Cephaliophora_sp_1
Branch06_sp_5	unknown_primary_lyfestyle	Branch06_gen_Incertae_sedis	Branch06_sp_5
Glomus_sp_14	arbuscular_mycorrhizal	Glomus	Glomus_sp_14
Olpidiaster_brassicae_1	plant_pathogen	Olpidiaster	Olpidiaster_brassicae_1
Gibbosporina_mascarena_2	lichenized	Gibbosporina	Gibbosporina_mascarena_2
Phomatospora_sp_1	wood_saprotroph	Phomatospora	Phomatospora_sp_1
Parajaminaea_phylloscopi_1	plant_pathogen	Parajaminaea	Parajaminaea_phylloscopi_1
Penicillium_paneum_1	unspecified_saprotroph	Penicillium	Penicillium_paneum_1
Bisifusarium_biseptatum_7	litter_saprotroph	Bisifusarium	Bisifusarium_biseptatum_7
Glomeraceae_sp_18	unknown_primary_lyfestyle	Glomeraceae_gen_Incertae_sedis	Glomeraceae_sp_18
Peziza_sp_15	soil_saprotroph	Peziza	Peziza_sp_15
Glomus_sp_15	arbuscular_mycorrhizal	Glomus	Glomus_sp_15
Fungi_sp_89	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_89
Ganoderma_nasalaense_1	plant_pathogen	Ganoderma	Ganoderma_nasalaense_1
Savoryella_sp_1	wood_saprotroph	Savoryella	Savoryella_sp_1
Fungi_sp_90	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_90
Montagnula_sp_1	wood_saprotroph	Montagnula	Montagnula_sp_1
Sordariales_sp_9	unknown_primary_lyfestyle	Sordariales_gen_Incertae_sedis	Sordariales_sp_9
Cladorrhinum_grandiusculum_1	unspecified_saprotroph	Cladorrhinum	Cladorrhinum_grandiusculum_1
Entyloma_carmeli_5	plant_pathogen	Entyloma	Entyloma_carmeli_5
Glomus_chinense_2	arbuscular_mycorrhizal	Glomus	Glomus_chinense_2
Fusarium_equiseti_7	plant_pathogen	Fusarium	Fusarium_equiseti_7
Fusarium_brachygibbosum_3	plant_pathogen	Fusarium	Fusarium_brachygibbosum_3
Ascomycota_sp_25	unknown_primary_lyfestyle	Ascomycota_gen_Incertae_sedis	Ascomycota_sp_25
GS14_sp_1	unknown_primary_lyfestyle	GS14_gen_Incertae_sedis	GS14_sp_1
Pseudocyphellaria_hawaiiensis_4	lichenized	Pseudocyphellaria	Pseudocyphellaria_hawaiiensis_4
Flavodon_ambrosius_1	wood_saprotroph	Flavodon	Flavodon_ambrosius_1
Amauroascus_sp_1	soil_saprotroph	Amauroascus	Amauroascus_sp_1
Paragibellulopsis_chrysanthemi_1	unknown_primary_lyfestyle	Paragibellulopsis	Paragibellulopsis_chrysanthemi_1
Mortierella_sp_7	soil_saprotroph	Mortierella	Mortierella_sp_7
Monosporascus_sp_1	plant_pathogen	Monosporascus	Monosporascus_sp_1
Saccharomyces_cerevisiae_1	nectar/tap_saprotroph	Saccharomyces	Saccharomyces_cerevisiae_1
Glomus_sp_16	arbuscular_mycorrhizal	Glomus	Glomus_sp_16
Filobasidium_globosporum_1	unspecified_saprotroph	Filobasidium	Filobasidium_globosporum_1
Remersonia_thermophila_2	dung_saprotroph	Remersonia	Remersonia_thermophila_2
Coniosporium_sp_12	plant_pathogen	Coniosporium	Coniosporium_sp_12
Archaeorhizomyces_sp_7	unknown_primary_lyfestyle	Archaeorhizomyces	Archaeorhizomyces_sp_7
Ascomycota_sp_26	unknown_primary_lyfestyle	Ascomycota_gen_Incertae_sedis	Ascomycota_sp_26
Sebacinales_sp_1	unknown_primary_lyfestyle	Sebacinales_gen_Incertae_sedis	Sebacinales_sp_1
Ramicandelaber_taiwanensis_6	soil_saprotroph	Ramicandelaber	Ramicandelaber_taiwanensis_6
Agaricomycetes_sp_12	unknown_primary_lyfestyle	Agaricomycetes_gen_Incertae_sedis	Agaricomycetes_sp_12
Ascodesmidaceae_sp_2	unknown_primary_lyfestyle	Ascodesmidaceae_gen_Incertae_sedis	Ascodesmidaceae_sp_2
Camarophyllopsis_schulzeri_1	soil_saprotroph	Camarophyllopsis	Camarophyllopsis_schulzeri_1
Fungi_sp_91	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_91
Acremonium_polychromum_3	unspecified_saprotroph	Acremonium	Acremonium_polychromum_3
Ascomycota_sp_27	unknown_primary_lyfestyle	Ascomycota_gen_Incertae_sedis	Ascomycota_sp_27
Sporobolomyces_reniformis_1	mycoparasite	Sporobolomyces	Sporobolomyces_reniformis_1
Camarophyllopsis_schulzeri_2	soil_saprotroph	Camarophyllopsis	Camarophyllopsis_schulzeri_2
Wickerhamomyces_siamensis_1	litter_saprotroph	Wickerhamomyces	Wickerhamomyces_siamensis_1
Ascomycota_sp_28	unknown_primary_lyfestyle	Ascomycota_gen_Incertae_sedis	Ascomycota_sp_28
Linnemannia_gamsii_2	unknown_primary_lyfestyle	Linnemannia	Linnemannia_gamsii_2
Fungi_sp_92	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_92
Inocybe_baltica_4	ectomycorrhizal	Inocybe	Inocybe_baltica_4
Glomeraceae_sp_19	unknown_primary_lyfestyle	Glomeraceae_gen_Incertae_sedis	Glomeraceae_sp_19
Cadophora_rotunda_1	litter_saprotroph	Cadophora	Cadophora_rotunda_1
Nephroma_flavorhizinatum_7	lichenized	Nephroma	Nephroma_flavorhizinatum_7
Fenestella_parafenestrata_19	wood_saprotroph	Fenestella	Fenestella_parafenestrata_19
Ophiostoma_aggregatum_5	plant_pathogen	Ophiostoma	Ophiostoma_aggregatum_5
GS11_sp_22	unknown_primary_lyfestyle	GS11_gen_Incertae_sedis	GS11_sp_22
Onygenales_sp_3	unknown_primary_lyfestyle	Onygenales_gen_Incertae_sedis	Onygenales_sp_3
Fungi_sp_93	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_93
Dimorphoma_saxea_1	unknown_primary_lyfestyle	Dimorphoma	Dimorphoma_saxea_1
Pseudorhypophila_mangenotii_2	unknown_primary_lyfestyle	Pseudorhypophila	Pseudorhypophila_mangenotii_2
Trichomonascus_apis_4	nectar/tap_saprotroph	Trichomonascus	Trichomonascus_apis_4
GS11_sp_23	unknown_primary_lyfestyle	GS11_gen_Incertae_sedis	GS11_sp_23
Chaenotheca_stemonea_1	lichenized	Chaenotheca	Chaenotheca_stemonea_1
Rozellomycota_sp_38	unknown_primary_lyfestyle	Rozellomycota_gen_Incertae_sedis	Rozellomycota_sp_38
Clavaria_californica_1	soil_saprotroph	Clavaria	Clavaria_californica_1
GS19_ord_Incertae_sedis_sp_1	unknown_primary_lyfestyle	GS19_ord_Incertae_sedis_gen_Incertae_sedis	GS19_ord_Incertae_sedis_sp_1
Fungi_sp_94	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_94
Kiskunsagia_ubrizsyi_11	unknown_primary_lyfestyle	Kiskunsagia	Kiskunsagia_ubrizsyi_11
Fenestella_parafenestrata_20	wood_saprotroph	Fenestella	Fenestella_parafenestrata_20
Balsamia_hellenica_3	ectomycorrhizal	Balsamia	Balsamia_hellenica_3
Tuber_puberulum_1	ectomycorrhizal	Tuber	Tuber_puberulum_1
Microascus_atrogriseus_1	soil_saprotroph	Microascus	Microascus_atrogriseus_1
Pyxidiophora_sp_1	litter_saprotroph	Pyxidiophora	Pyxidiophora_sp_1
Russula_echidna_2	ectomycorrhizal	Russula	Russula_echidna_2
Cordyceps_fumosorosea_12	animal_parasite	Cordyceps	Cordyceps_fumosorosea_12
Cylindrocladiella_lageniformis_1	plant_pathogen	Cylindrocladiella	Cylindrocladiella_lageniformis_1
Ascosphaera_larvis_4	animal_parasite	Ascosphaera	Ascosphaera_larvis_4
Exserohilum_khartoumense_4	plant_pathogen	Exserohilum	Exserohilum_khartoumense_4
Clarireedia_paspali_1	unknown_primary_lyfestyle	Clarireedia	Clarireedia_paspali_1
Lepraria_nothofagi_1	lichenized	Lepraria	Lepraria_nothofagi_1
Keratinophyton_linfenense_1	unknown_primary_lyfestyle	Keratinophyton	Keratinophyton_linfenense_1
Mortierellales_sp_6	unknown_primary_lyfestyle	Mortierellales_gen_Incertae_sedis	Mortierellales_sp_6
Coniosporium_sp_13	plant_pathogen	Coniosporium	Coniosporium_sp_13
Purpureocillium_lavendulum_1	animal_parasite	Purpureocillium	Purpureocillium_lavendulum_1
Agaricales_sp_3	unknown_primary_lyfestyle	Agaricales_gen_Incertae_sedis	Agaricales_sp_3
Fungi_sp_95	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_95
Mortierella_alpina_1	soil_saprotroph	Mortierella	Mortierella_alpina_1
Nephroma_flavorhizinatum_8	lichenized	Nephroma	Nephroma_flavorhizinatum_8
Ramicandelaber_taiwanensis_7	soil_saprotroph	Ramicandelaber	Ramicandelaber_taiwanensis_7
Dioszegia_zsoltii_1	litter_saprotroph	Dioszegia	Dioszegia_zsoltii_1
Alternaria_indefessa_2	plant_pathogen	Alternaria	Alternaria_indefessa_2
Amanita_hiltonii_1	ectomycorrhizal	Amanita	Amanita_hiltonii_1
Fusarium_equiseti_8	plant_pathogen	Fusarium	Fusarium_equiseti_8
Pyrenochaeta_sp_4	wood_saprotroph	Pyrenochaeta	Pyrenochaeta_sp_4
Entyloma_carmeli_6	plant_pathogen	Entyloma	Entyloma_carmeli_6
Kickxellomycota_sp_2	unknown_primary_lyfestyle	Kickxellomycota_gen_Incertae_sedis	Kickxellomycota_sp_2
GS11_sp_24	unknown_primary_lyfestyle	GS11_gen_Incertae_sedis	GS11_sp_24
Fungi_sp_96	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_96
Funneliformis_mosseae_1	arbuscular_mycorrhizal	Funneliformis	Funneliformis_mosseae_1
Uromycladium_fusisporum_1	plant_pathogen	Uromycladium	Uromycladium_fusisporum_1
Coniosporium_sp_14	plant_pathogen	Coniosporium	Coniosporium_sp_14
Lactarius_lacunarum_6	ectomycorrhizal	Lactarius	Lactarius_lacunarum_6
Sporormiaceae_sp_3	unknown_primary_lyfestyle	Sporormiaceae_gen_Incertae_sedis	Sporormiaceae_sp_3
Sebacinales_sp_2	unknown_primary_lyfestyle	Sebacinales_gen_Incertae_sedis	Sebacinales_sp_2
Clavulinopsis_sp_1	soil_saprotroph	Clavulinopsis	Clavulinopsis_sp_1
Helvella_bachu_17	ectomycorrhizal	Helvella	Helvella_bachu_17
Catenaria_sp_1	animal_parasite	Catenaria	Catenaria_sp_1
Coniosporium_sp_15	plant_pathogen	Coniosporium	Coniosporium_sp_15
Fusarium_equiseti_9	plant_pathogen	Fusarium	Fusarium_equiseti_9
Nephroma_flavorhizinatum_9	lichenized	Nephroma	Nephroma_flavorhizinatum_9
Nephroma_flavorhizinatum_10	lichenized	Nephroma	Nephroma_flavorhizinatum_10
Entyloma_carmeli_7	plant_pathogen	Entyloma	Entyloma_carmeli_7
Fusarium_equiseti_10	plant_pathogen	Fusarium	Fusarium_equiseti_10
Terramyces_subangulosus_5	pollen_saprotroph	Terramyces	Terramyces_subangulosus_5
Neocucurbitaria_aetnensis_6	unspecified_saprotroph	Neocucurbitaria	Neocucurbitaria_aetnensis_6
Lecythophora_sp_1	unspecified_saprotroph	Lecythophora	Lecythophora_sp_1
Hygrocybe_purpureofolia_1	unknown_primary_lyfestyle	Hygrocybe	Hygrocybe_purpureofolia_1
Cutaneotrichosporon_curvatum_1	animal_parasite	Cutaneotrichosporon	Cutaneotrichosporon_curvatum_1
Chaetomium_cervicicola_1	litter_saprotroph	Chaetomium	Chaetomium_cervicicola_1
Fusarium_brachygibbosum_4	plant_pathogen	Fusarium	Fusarium_brachygibbosum_4
Ceratobasidium_sp_5	plant_pathogen	Ceratobasidium	Ceratobasidium_sp_5
GS11_sp_25	unknown_primary_lyfestyle	GS11_gen_Incertae_sedis	GS11_sp_25
Tuber_puberulum_2	ectomycorrhizal	Tuber	Tuber_puberulum_2
Chrysosporium_lobatum_2	wood_saprotroph	Chrysosporium	Chrysosporium_lobatum_2
Chaetomium_longiciliatum_2	litter_saprotroph	Chaetomium	Chaetomium_longiciliatum_2
Ramicandelaber_taiwanensis_8	soil_saprotroph	Ramicandelaber	Ramicandelaber_taiwanensis_8
Trichomeriaceae_sp_6	unknown_primary_lyfestyle	Trichomeriaceae_gen_Incertae_sedis	Trichomeriaceae_sp_6
Fungi_sp_97	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_97
GS11_sp_26	unknown_primary_lyfestyle	GS11_gen_Incertae_sedis	GS11_sp_26
Fungi_sp_98	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_98
Sordariales_sp_10	unknown_primary_lyfestyle	Sordariales_gen_Incertae_sedis	Sordariales_sp_10
Fusarium_equiseti_11	plant_pathogen	Fusarium	Fusarium_equiseti_11
Pezizaceae_sp_6	unknown_primary_lyfestyle	Pezizaceae_gen_Incertae_sedis	Pezizaceae_sp_6
Cercophora_fici_1	dung_saprotroph	Cercophora	Cercophora_fici_1
Zasmidium_velutinum_1	plant_pathogen	Zasmidium	Zasmidium_velutinum_1
Phaeosphaeriaceae_sp_1	unknown_primary_lyfestyle	Phaeosphaeriaceae_gen_Incertae_sedis	Phaeosphaeriaceae_sp_1
Mycena_mucor_1	litter_saprotroph	Mycena	Mycena_mucor_1
Nephroma_flavorhizinatum_11	lichenized	Nephroma	Nephroma_flavorhizinatum_11
Leucocoprinus_sp_1	soil_saprotroph	Leucocoprinus	Leucocoprinus_sp_1
Pleosporales_sp_9	unknown_primary_lyfestyle	Pleosporales_gen_Incertae_sedis	Pleosporales_sp_9
Cladorrhinum_sp_2	unspecified_saprotroph	Cladorrhinum	Cladorrhinum_sp_2
Glomeraceae_sp_20	unknown_primary_lyfestyle	Glomeraceae_gen_Incertae_sedis	Glomeraceae_sp_20
Ramicandelaber_taiwanensis_9	soil_saprotroph	Ramicandelaber	Ramicandelaber_taiwanensis_9
Penicillium_excelsum_1	unspecified_saprotroph	Penicillium	Penicillium_excelsum_1
Onygenales_sp_4	unknown_primary_lyfestyle	Onygenales_gen_Incertae_sedis	Onygenales_sp_4
Ascomycota_sp_29	unknown_primary_lyfestyle	Ascomycota_gen_Incertae_sedis	Ascomycota_sp_29
Pichia_membranifaciens_1	nectar/tap_saprotroph	Pichia	Pichia_membranifaciens_1
Agaricomycetes_sp_13	unknown_primary_lyfestyle	Agaricomycetes_gen_Incertae_sedis	Agaricomycetes_sp_13
Lichtheimia_ramosa_2	soil_saprotroph	Lichtheimia	Lichtheimia_ramosa_2
Ramaria_cartilaginea_1	ectomycorrhizal	Ramaria	Ramaria_cartilaginea_1
Archaeorhizomycetales_sp_1	unknown_primary_lyfestyle	Archaeorhizomycetales_gen_Incertae_sedis	Archaeorhizomycetales_sp_1
Capronia_sp_1	soil_saprotroph	Capronia	Capronia_sp_1
GS11_sp_27	unknown_primary_lyfestyle	GS11_gen_Incertae_sedis	GS11_sp_27
Paraphaeosphaeria_sporulosa_1	wood_saprotroph	Paraphaeosphaeria	Paraphaeosphaeria_sporulosa_1
Vishniacozyma_sp_2	soil_saprotroph	Vishniacozyma	Vishniacozyma_sp_2
Rozellomycota_sp_39	unknown_primary_lyfestyle	Rozellomycota_gen_Incertae_sedis	Rozellomycota_sp_39
Mortierellaceae_sp_6	unknown_primary_lyfestyle	Mortierellaceae_gen_Incertae_sedis	Mortierellaceae_sp_6
Fungi_sp_99	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_99
Fungi_sp_100	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_100
Knufia_mediterranea_2	soil_saprotroph	Knufia	Knufia_mediterranea_2
Podospora_pyriformis_1	dung_saprotroph	Podospora	Podospora_pyriformis_1
Knufia_sp_2	soil_saprotroph	Knufia	Knufia_sp_2
Neocucurbitaria_aetnensis_7	unspecified_saprotroph	Neocucurbitaria	Neocucurbitaria_aetnensis_7
Fenestella_parafenestrata_21	wood_saprotroph	Fenestella	Fenestella_parafenestrata_21
Glomus_sp_17	arbuscular_mycorrhizal	Glomus	Glomus_sp_17
Aspergillus_penicillioides_1	unspecified_saprotroph	Aspergillus	Aspergillus_penicillioides_1
Fungi_sp_101	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_101
Plectosphaerella_cucumerina_2	plant_pathogen	Plectosphaerella	Plectosphaerella_cucumerina_2
Chaetothyriales_sp_9	unknown_primary_lyfestyle	Chaetothyriales_gen_Incertae_sedis	Chaetothyriales_sp_9
Candida_auris_2	nectar/tap_saprotroph	Candida	Candida_auris_2
Stolonocarpus_sp_2	unknown_primary_lyfestyle	Stolonocarpus	Stolonocarpus_sp_2
Actinomucor_elegans_1	soil_saprotroph	Actinomucor	Actinomucor_elegans_1
Hydnum_tangerinum_2	ectomycorrhizal	Hydnum	Hydnum_tangerinum_2
Rhizophlyctidales_sp_1	unknown_primary_lyfestyle	Rhizophlyctidales_gen_Incertae_sedis	Rhizophlyctidales_sp_1
Chaetothyriales_sp_10	unknown_primary_lyfestyle	Chaetothyriales_gen_Incertae_sedis	Chaetothyriales_sp_10
Pleosporales_sp_10	unknown_primary_lyfestyle	Pleosporales_gen_Incertae_sedis	Pleosporales_sp_10
Fungi_sp_102	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_102
Acrostalagmus_luteoalbus_2	foliar_endophyte	Acrostalagmus	Acrostalagmus_luteoalbus_2
Peziza_sp_16	soil_saprotroph	Peziza	Peziza_sp_16
Septoglomus_constrictum_1	arbuscular_mycorrhizal	Septoglomus	Septoglomus_constrictum_1
Fusarium_equiseti_12	plant_pathogen	Fusarium	Fusarium_equiseti_12
Tulostoma_eckbladii_1	soil_saprotroph	Tulostoma	Tulostoma_eckbladii_1
Oidiodendron_truncatum_1	unknown_primary_lyfestyle	Oidiodendron	Oidiodendron_truncatum_1
Agaricales_sp_4	unknown_primary_lyfestyle	Agaricales_gen_Incertae_sedis	Agaricales_sp_4
Stachybotrys_sp_1	wood_saprotroph	Stachybotrys	Stachybotrys_sp_1
Ciliophora_sp_1	unknown_primary_lyfestyle	Ciliophora	Ciliophora_sp_1
Wardomyces_inflatus_2	dung_saprotroph	Wardomyces	Wardomyces_inflatus_2
Entyloma_carmeli_8	plant_pathogen	Entyloma	Entyloma_carmeli_8
Inocybe_sp_4	ectomycorrhizal	Inocybe	Inocybe_sp_4
Glomeraceae_sp_21	unknown_primary_lyfestyle	Glomeraceae_gen_Incertae_sedis	Glomeraceae_sp_21
Coniosporium_sp_16	plant_pathogen	Coniosporium	Coniosporium_sp_16
Hypotrachyna_neodissecta_1	lichenized	Hypotrachyna	Hypotrachyna_neodissecta_1
Zygosaccharomyces_bailii_2	nectar/tap_saprotroph	Zygosaccharomyces	Zygosaccharomyces_bailii_2
Sporormiaceae_sp_4	unknown_primary_lyfestyle	Sporormiaceae_gen_Incertae_sedis	Sporormiaceae_sp_4
Cyphellophora_sp_1	litter_saprotroph	Cyphellophora	Cyphellophora_sp_1
Hyalorbilia_fusarioides_2	wood_saprotroph	Hyalorbilia	Hyalorbilia_fusarioides_2
Pleosporales_sp_11	unknown_primary_lyfestyle	Pleosporales_gen_Incertae_sedis	Pleosporales_sp_11
Fungi_sp_103	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_103
Fusarium_lunatum_1	plant_pathogen	Fusarium	Fusarium_lunatum_1
Dipodascus_capitatus_1	nectar/tap_saprotroph	Dipodascus	Dipodascus_capitatus_1
Trichomonascus_apis_5	nectar/tap_saprotroph	Trichomonascus	Trichomonascus_apis_5
Ramicandelaber_taiwanensis_10	soil_saprotroph	Ramicandelaber	Ramicandelaber_taiwanensis_10
Fusarium_variasi_3	plant_pathogen	Fusarium	Fusarium_variasi_3
Sordariomycetes_sp_7	unknown_primary_lyfestyle	Sordariomycetes_gen_Incertae_sedis	Sordariomycetes_sp_7
Cutaneotrichosporon_moniliiforme_1	animal_parasite	Cutaneotrichosporon	Cutaneotrichosporon_moniliiforme_1
Fungi_sp_104	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_104
Trichoderma_ghanense_1	mycoparasite	Trichoderma	Trichoderma_ghanense_1
Boletales_sp_1	unknown_primary_lyfestyle	Boletales_gen_Incertae_sedis	Boletales_sp_1
Pezizales_sp_4	unknown_primary_lyfestyle	Pezizales_gen_Incertae_sedis	Pezizales_sp_4
Agaricales_sp_5	unknown_primary_lyfestyle	Agaricales_gen_Incertae_sedis	Agaricales_sp_5
Kiskunsagia_ubrizsyi_12	unknown_primary_lyfestyle	Kiskunsagia	Kiskunsagia_ubrizsyi_12
Neosonderhenia_eucalypti_1	unknown_primary_lyfestyle	Neosonderhenia	Neosonderhenia_eucalypti_1
Helotiales_sp_2	unknown_primary_lyfestyle	Helotiales_gen_Incertae_sedis	Helotiales_sp_2
Sordariales_sp_11	unknown_primary_lyfestyle	Sordariales_gen_Incertae_sedis	Sordariales_sp_11
Fungi_sp_105	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_105
Dipodascus_capitatus_2	nectar/tap_saprotroph	Dipodascus	Dipodascus_capitatus_2
Paracylindrocarpon_aloicola_1	litter_saprotroph	Paracylindrocarpon	Paracylindrocarpon_aloicola_1
Glomeromycetes_sp_1	unknown_primary_lyfestyle	Glomeromycetes_gen_Incertae_sedis	Glomeromycetes_sp_1
GS08_sp_2	unknown_primary_lyfestyle	GS08_gen_Incertae_sedis	GS08_sp_2
Gomphaceae_sp_1	unknown_primary_lyfestyle	Gomphaceae_gen_Incertae_sedis	Gomphaceae_sp_1
Barrmaelia_rhamnicola_1	unspecified_saprotroph	Barrmaelia	Barrmaelia_rhamnicola_1
Rhizophydiales_sp_4	unknown_primary_lyfestyle	Rhizophydiales_gen_Incertae_sedis	Rhizophydiales_sp_4
Paraphoma_chlamydocopiosa_1	plant_pathogen	Paraphoma	Paraphoma_chlamydocopiosa_1
Nephroma_flavorhizinatum_12	lichenized	Nephroma	Nephroma_flavorhizinatum_12
Neocucurbitaria_aetnensis_8	unspecified_saprotroph	Neocucurbitaria	Neocucurbitaria_aetnensis_8
Aspergillus_neobridgeri_1	unspecified_saprotroph	Aspergillus	Aspergillus_neobridgeri_1
Tubeufiales_sp_1	unknown_primary_lyfestyle	Tubeufiales_gen_Incertae_sedis	Tubeufiales_sp_1
Fungi_sp_106	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_106
Pseudohormonema_sordidum_1	unknown_primary_lyfestyle	Pseudohormonema	Pseudohormonema_sordidum_1
Geoglossales_sp_1	unknown_primary_lyfestyle	Geoglossales_gen_Incertae_sedis	Geoglossales_sp_1
Tulostoma_lysocephalum_1	soil_saprotroph	Tulostoma	Tulostoma_lysocephalum_1
Lactarius_mammosus_1	ectomycorrhizal	Lactarius	Lactarius_mammosus_1
GS11_sp_28	unknown_primary_lyfestyle	GS11_gen_Incertae_sedis	GS11_sp_28
Mucor_racemosus_1	soil_saprotroph	Mucor	Mucor_racemosus_1
Amanita_brunneitoxicaria_1	ectomycorrhizal	Amanita	Amanita_brunneitoxicaria_1
Fusarium_buharicum_4	plant_pathogen	Fusarium	Fusarium_buharicum_4
Aphelidiomycota_sp_5	unknown_primary_lyfestyle	Aphelidiomycota_gen_Incertae_sedis	Aphelidiomycota_sp_5
Orbiliales_sp_9	unknown_primary_lyfestyle	Orbiliales_gen_Incertae_sedis	Orbiliales_sp_9
Orbiliaceae_sp_1	unknown_primary_lyfestyle	Orbiliaceae_gen_Incertae_sedis	Orbiliaceae_sp_1
Pyrenochaetopsis_tabarestanensis_1	foliar_endophyte	Pyrenochaetopsis	Pyrenochaetopsis_tabarestanensis_1
Daldinia_loculata_1	wood_saprotroph	Daldinia	Daldinia_loculata_1
GS11_sp_29	unknown_primary_lyfestyle	GS11_gen_Incertae_sedis	GS11_sp_29
Hypocreales_sp_8	unknown_primary_lyfestyle	Hypocreales_gen_Incertae_sedis	Hypocreales_sp_8
Orbiliaceae_sp_2	unknown_primary_lyfestyle	Orbiliaceae_gen_Incertae_sedis	Orbiliaceae_sp_2
